"","X","State","Date","BinaryPiracyIncident","TotalViolentIncidents","TotalCasualties","CoastalCasualties","InlandCasualties","CoastalIncidents","InlandIncidents","GDPpc","Population","Unemployment","FishStocks","Military","Trade","CoastlineLength","Ports","ChokepointDistance1","ChokepointDistance2","Chokepoints","MajorShippingLane","OngoingCivilWar","StateFragility","StateReach","CountPiracyIncidents","Monsoon","Year"
"98",2848,"Djibouti","Mar 2003",0,0,0,0,0,0,0,818.8666298,759641,10.80200005,2684.135829,2.506470751,NA,314,1,119,119,4,1,0,15,0.00613159850642385,0,0,"2003"
"99",2849,"Djibouti","Apr 2003",0,0,0,0,0,0,0,818.8666298,759641,10.80200005,2684.135829,2.506470751,NA,314,1,119,119,4,1,0,15,0.00613159850642385,0,0,"2003"
"100",2850,"Djibouti","May 2003",0,0,0,0,0,0,0,818.8666298,759641,10.80200005,2684.135829,2.506470751,NA,314,1,119,119,4,1,0,15,0.00613159850642385,0,0,"2003"
"101",2851,"Djibouti","Jun 2003",0,0,0,0,0,0,0,818.8666298,759641,10.80200005,2684.135829,2.506470751,NA,314,1,119,119,4,1,0,15,0.00613159850642385,0,0,"2003"
"102",2852,"Djibouti","Jul 2003",0,0,0,0,0,0,0,818.8666298,759641,10.80200005,2684.135829,2.506470751,NA,314,1,119,119,4,1,0,15,0.00613159850642385,0,0,"2003"
"103",2853,"Djibouti","Aug 2003",0,0,0,0,0,0,0,818.8666298,759641,10.80200005,2684.135829,2.506470751,NA,314,1,119,119,4,1,0,15,0.00613159850642385,0,0,"2003"
"104",2854,"Djibouti","Sep 2003",0,0,0,0,0,0,0,818.8666298,759641,10.80200005,2684.135829,2.506470751,NA,314,1,119,119,4,1,0,15,0.00613159850642385,0,0,"2003"
"105",2855,"Djibouti","Oct 2003",0,0,0,0,0,0,0,818.8666298,759641,10.80200005,2684.135829,2.506470751,NA,314,1,119,119,4,1,0,15,0.00613159850642385,0,0,"2003"
"106",2856,"Djibouti","Nov 2003",0,0,0,0,0,0,0,818.8666298,759641,10.80200005,2684.135829,2.506470751,NA,314,1,119,119,4,1,0,15,0.00613159850642385,0,0,"2003"
"107",2857,"Djibouti","Dec 2003",0,0,0,0,0,0,0,818.8666298,759641,10.80200005,2684.135829,2.506470751,NA,314,1,119,119,4,1,0,15,0.00613159850642385,0,0,"2003"
"108",2858,"Djibouti","Jan 2004",0,0,0,0,0,0,0,863.2316123,771603,10.72599983,2918.027681,1.391605092,NA,314,1,119,119,4,1,0,15,0.00613159850642385,0,0,"2004"
"109",2859,"Djibouti","Feb 2004",1,0,0,0,0,0,0,863.2316123,771603,10.72599983,2918.027681,1.391605092,NA,314,1,119,119,4,1,0,15,0.00613159850642385,1,0,"2004"
"110",2860,"Djibouti","Mar 2004",0,0,0,0,0,0,0,863.2316123,771603,10.72599983,2918.027681,1.391605092,NA,314,1,119,119,4,1,0,15,0.00613159850642385,0,0,"2004"
"111",2861,"Djibouti","Apr 2004",0,0,0,0,0,0,0,863.2316123,771603,10.72599983,2918.027681,1.391605092,NA,314,1,119,119,4,1,0,15,0.00613159850642385,0,0,"2004"
"112",2862,"Djibouti","May 2004",0,0,0,0,0,0,0,863.2316123,771603,10.72599983,2918.027681,1.391605092,NA,314,1,119,119,4,1,0,15,0.00613159850642385,0,0,"2004"
"113",2863,"Djibouti","Jun 2004",0,0,0,0,0,0,0,863.2316123,771603,10.72599983,2918.027681,1.391605092,NA,314,1,119,119,4,1,0,15,0.00613159850642385,0,0,"2004"
"114",2864,"Djibouti","Jul 2004",0,0,0,0,0,0,0,863.2316123,771603,10.72599983,2918.027681,1.391605092,NA,314,1,119,119,4,1,0,15,0.00613159850642385,0,0,"2004"
"115",2865,"Djibouti","Aug 2004",0,0,0,0,0,0,0,863.2316123,771603,10.72599983,2918.027681,1.391605092,NA,314,1,119,119,4,1,0,15,0.00613159850642385,0,0,"2004"
"116",2866,"Djibouti","Sep 2004",0,0,0,0,0,0,0,863.2316123,771603,10.72599983,2918.027681,1.391605092,NA,314,1,119,119,4,1,0,15,0.00613159850642385,0,0,"2004"
"117",2867,"Djibouti","Oct 2004",0,0,0,0,0,0,0,863.2316123,771603,10.72599983,2918.027681,1.391605092,NA,314,1,119,119,4,1,0,15,0.00613159850642385,0,0,"2004"
"118",2868,"Djibouti","Nov 2004",0,0,0,0,0,0,0,863.2316123,771603,10.72599983,2918.027681,1.391605092,NA,314,1,119,119,4,1,0,15,0.00613159850642385,0,0,"2004"
"119",2869,"Djibouti","Dec 2004",0,0,0,0,0,0,0,863.2316123,771603,10.72599983,2918.027681,1.391605092,NA,314,1,119,119,4,1,0,15,0.00613159850642385,0,0,"2004"
"120",2870,"Djibouti","Jan 2005",0,0,0,0,0,0,0,904.7297489,783254,10.62899971,4599.393001,0.493114853,NA,314,1,119,119,4,1,0,14,0.00613159850642385,0,0,"2005"
"121",2871,"Djibouti","Feb 2005",0,0,0,0,0,0,0,904.7297489,783254,10.62899971,4599.393001,0.493114853,NA,314,1,119,119,4,1,0,14,0.00613159850642385,0,0,"2005"
"122",2872,"Djibouti","Mar 2005",0,0,0,0,0,0,0,904.7297489,783254,10.62899971,4599.393001,0.493114853,NA,314,1,119,119,4,1,0,14,0.00613159850642385,0,0,"2005"
"123",2873,"Djibouti","Apr 2005",0,0,0,0,0,0,0,904.7297489,783254,10.62899971,4599.393001,0.493114853,NA,314,1,119,119,4,1,0,14,0.00613159850642385,0,0,"2005"
"124",2874,"Djibouti","May 2005",0,0,0,0,0,0,0,904.7297489,783254,10.62899971,4599.393001,0.493114853,NA,314,1,119,119,4,1,0,14,0.00613159850642385,0,0,"2005"
"125",2875,"Djibouti","Jun 2005",0,0,0,0,0,0,0,904.7297489,783254,10.62899971,4599.393001,0.493114853,NA,314,1,119,119,4,1,0,14,0.00613159850642385,0,0,"2005"
"126",2876,"Djibouti","Jul 2005",1,0,0,0,0,0,0,904.7297489,783254,10.62899971,4599.393001,0.493114853,NA,314,1,119,119,4,1,0,14,0.00613159850642385,1,0,"2005"
"127",2877,"Djibouti","Aug 2005",0,0,0,0,0,0,0,904.7297489,783254,10.62899971,4599.393001,0.493114853,NA,314,1,119,119,4,1,0,14,0.00613159850642385,0,0,"2005"
"128",2878,"Djibouti","Sep 2005",0,0,0,0,0,0,0,904.7297489,783254,10.62899971,4599.393001,0.493114853,NA,314,1,119,119,4,1,0,14,0.00613159850642385,0,0,"2005"
"129",2879,"Djibouti","Oct 2005",0,0,0,0,0,0,0,904.7297489,783254,10.62899971,4599.393001,0.493114853,NA,314,1,119,119,4,1,0,14,0.00613159850642385,0,0,"2005"
"130",2880,"Djibouti","Nov 2005",0,0,0,0,0,0,0,904.7297489,783254,10.62899971,4599.393001,0.493114853,NA,314,1,119,119,4,1,0,14,0.00613159850642385,0,0,"2005"
"131",2881,"Djibouti","Dec 2005",0,0,0,0,0,0,0,904.7297489,783254,10.62899971,4599.393001,0.493114853,NA,314,1,119,119,4,1,0,14,0.00613159850642385,0,0,"2005"
"132",2882,"Djibouti","Jan 2006",0,0,0,0,0,0,0,967.6686229,794563,10.42599964,4005.38213,NA,NA,314,1,119,119,4,1,0,15,0.00613159850642385,0,0,"2006"
